acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
8.1,150,315,153,490.0,Corsa,48.1,https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh,Opel,B
3.9,200,430,209,450.0,EL7,90.0,https://ev-database.org/car/1789/NIO-EL7-100-kWh,NIO,F
4.9,200,460,243,420.0,E-HS9,112.0,https://ev-database.org/car/2050/Hongqi-E-HS9-120-kWh,Hongqi,F
4.5,200,435,207,630.0,EL6,90.0,https://ev-database.org/car/1922/NIO-EL6-100-kWh,NIO,E
9.9,150,270,171,430.0,e-2008,46.3,https://ev-database.org/car/1946/Peugeot-e-2008-50-kWh,Peugeot,B
5.6,180,370,175,500.0,Countryman,64.7,https://ev-database.org/car/1995/Mini-Countryman-SE-ALL4,Mini,C
8.2,160,340,174,290.0,ORA,59.3,https://ev-database.org/car/2092/GWM-ORA-3-63-kWh,GWM,C
13.7,125,160,156,170.0,Spring,25.0,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,Dacia,A
8.0,160,370,232,470.0,ID.,86.0,https://ev-database.org/car/2155/Volkswagen-ID-Buzz-LWB-Pro-S,Volkswagen,N
4.9,225,440,188,880.0,G80,82.5,https://ev-database.org/car/1703/Genesis-G80-Electrified-Luxury,Genesis,F
10.0,150,330,154,470.0,e-C4,50.8,https://ev-database.org/car/1939/Citroen-e-C4-X-54-kWh,Citroen,C
